#Size   cmek    cmek_min        cmek_max        cmek-hsm        cmek-hsm_min    cmek-hsm_max    csek    csek_min       csek_max keywrap keywrap_min     keywrap_max     strawman        strawman_min    strawman_max    akeso   akeso_min      akeso_max
1MB     217.889 214.559 221.219 213.291 210.132 216.450 117.114 116.443 117.784 86.742  86.228  87.256  220.010 218.349221.671  98.717  96.640  100.793
2MB     109.391 108.645 110.137 109.230 108.304 110.156 57.488  57.194  57.782  42.304  41.941  42.667  120.421 119.746121.096  47.482  47.068  47.895
4MB     67.260  66.680  67.839  67.458  66.865  68.050  29.092  28.859  29.325  21.430  21.246  21.613  74.120  73.682 74.558   24.679  24.084  25.274
16MB    32.901  32.663  33.139  33.346  32.824  33.867  7.453   7.391   7.515   5.480   5.441   5.520   35.486  35.192 35.781   7.111   7.017   7.206
