#ObjectSizes	cmek	cmek-hsm	csek	keywrap	strawman	akeso
1MB	211.068	209.245	116.817	86.459	214.667	95.614
2MB	110.545	107.456	56.978	41.589	118.123	46.334
4MB	66.161	67.678	27.988	20.651	73.166	23.749
16MB	33.288	37.685	7.211	5.361	35.013	6.977
