#ObjectSizes	cmek	cmek-hsm	csek	keywrap	strawman	akeso
4MB	68.350	68.658	29.584	21.135	74.223	24.186
16MB	32.549	33.061	7.289	5.398	35.928	6.893
2MB	108.432	108.582	57.544	42.171	121.099	46.466
1MB	211.968	207.223	116.042	84.985	221.525	94.782
