#ObjectSizes	cmek	cmek-hsm	csek	keywrap	strawman	akeso
2MB	107.582	107.017	57.902	41.564	121.928	47.789
4MB	65.874	66.166	28.613	21.596	73.042	23.936
16MB	32.912	33.141	7.392	5.510	34.925	7.155
1MB	218.618	217.162	119.776	89.921	226.509	97.995
