#ObjectSizes	cmek	cmek-hsm	csek	keywrap	strawman	akeso
16MB	32.554	32.908	7.304	5.516	34.633	7.309
2MB	113.475	114.821	58.240	44.819	123.356	49.862
4MB	68.753	68.000	29.748	21.560	75.399	24.152
1MB	233.631	231.196	118.968	86.773	221.821	97.902
