#ObjectSizes	cmek	cmek-hsm	csek	keywrap	strawman	akeso
4MB	68.795	68.542	30.019	21.636	75.267	24.429
16MB	33.775	32.669	7.663	5.526	37.591	7.555
2MB	112.009	112.815	58.573	43.211	122.064	49.612
1MB	234.132	225.990	120.541	88.733	228.467	99.553
