#ObjectSizes	cmek	cmek-hsm	csek	keywrap	strawman	akeso
2MB	111.099	111.756	58.184	41.991	119.632	46.741
4MB	69.435	70.824	30.003	22.822	76.013	24.767
16MB	34.173	34.079	7.721	5.774	35.753	7.263
1MB	202.060	198.444	116.726	85.055	214.390	116.718
