#ObjectSizes	cmek	cmek-hsm	csek	keywrap	strawman	akeso
2MB	108.666	108.916	58.487	43.147	122.791	47.719
4MB	69.201	68.123	29.089	21.422	75.615	24.161
16MB	32.949	33.176	7.729	5.551	36.349	7.423
1MB	222.993	215.204	115.275	86.108	215.990	95.921
