#ObjectSizes	cmek	cmek-hsm	csek	keywrap	strawman	akeso
16MB	33.137	32.799	7.559	5.367	34.815	6.519
2MB	108.799	107.043	56.264	41.367	119.678	46.244
4MB	65.906	67.170	28.741	21.220	73.680	29.947
1MB	221.075	216.765	115.026	87.690	223.839	98.743
