#ObjectSizes	cmek	cmek-hsm	csek	keywrap	strawman	akeso
2MB	107.711	105.741	56.184	40.906	117.135	47.336
4MB	64.251	64.651	29.012	21.321	72.773	23.840
16MB	31.899	31.624	7.303	5.383	34.790	6.931
1MB	207.185	206.528	114.179	85.213	213.933	94.182
