#BucketSize	cmek	cmek-hsm	csek	keywrap	strawman	akeso
1GB	116.322	112.555	58.520	43.094	123.567	47.900
10GB	1064.722	1064.432	575.598	422.682	1190.811	454.518
16MB	2.150	2.089	1.008	0.720	1.904	1.165
128MB	14.370	14.369	7.649	5.626	15.414	6.552
512MB	57.193	55.588	29.412	21.855	61.259	24.396
