#BucketSize	cmek	cmek-hsm	csek	keywrap	strawman	akeso
1GB	112.930	111.179	57.385	42.790	119.625	46.725
10GB	1068.488	1042.945	577.037	422.188	1162.614	454.645
16MB	2.065	2.071	0.948	0.713	1.943	1.177
128MB	14.538	14.544	7.589	5.652	15.752	6.713
512MB	56.246	55.305	30.029	22.165	61.267	24.305
