#BucketSize	cmek	cmek-hsm	csek	keywrap	strawman	akeso
1GB	113.159	111.127	59.850	44.395	124.724	49.052
10GB	1077.059	1055.204	584.140	429.010	1190.513	479.612
512MB	55.355	56.348	30.503	21.283	59.770	23.929
16MB	1.985	1.997	1.023	0.697	1.885	1.140
128MB	14.605	14.286	7.655	5.582	15.721	6.601
