#BucketSize	cmek	cmek-hsm	csek	keywrap	strawman	akeso
1GB	119.727	116.675	60.523	45.383	128.582	50.853
10GB	1156.729	1147.442	602.526	438.869	1217.329	477.519
16MB	2.178	2.198	0.968	0.727	1.945	1.157
128MB	15.198	15.200	7.607	5.613	15.475	6.569
512MB	58.244	58.778	30.331	22.250	61.515	24.801
