#BucketSize	cmek	cmek-hsm	csek	keywrap	strawman	akeso
1GB	115.069	112.831	59.631	44.054	124.834	50.361
10GB	1112.484	1108.177	596.313	447.957	1227.033	506.823
128MB	15.342	15.315	7.740	5.713	15.197	6.963
512MB	59.066	59.992	29.661	22.148	60.745	24.552
16MB	2.397	2.384	1.020	0.731	2.282	1.169
