#BucketSize	cmek	cmek-hsm	csek	keywrap	strawman	akeso
1GB	120.464	118.381	61.382	46.091	129.070	53.479
10GB	1098.154	1101.259	602.059	440.178	1218.506	515.496
16MB	1.986	1.986	0.927	0.679	1.748	1.075
128MB	15.042	14.931	7.612	5.734	15.161	6.488
512MB	60.594	60.296	30.147	22.617	61.634	25.112
