#BucketSize	cmek	cmek-hsm	csek	keywrap	strawman	akeso
1GB	114.099	111.291	58.671	42.490	122.223	54.082
10GB	1036.076	1020.366	545.380	401.040	1153.772	454.997
16MB	2.416	2.159	1.001	0.731	2.009	1.206
128MB	15.165	15.221	7.536	5.609	15.704	6.505
512MB	57.474	56.804	29.338	21.947	63.279	24.810
