#BucketSize	cmek	cmek-hsm	csek	keywrap	strawman	akeso
1GB	123.258	121.256	68.725	46.208	131.343	52.899
10GB	1157.999	1149.025	620.447	447.090	1251.163	516.272
16MB	2.012	2.130	0.975	0.742	1.876	1.051
128MB	14.714	14.288	7.607	5.457	14.886	6.505
512MB	56.098	56.188	28.629	21.146	61.305	24.231
