#BucketSize	cmek	cmek-hsm	csek	keywrap	strawman	akeso
1GB	114.141	115.834	58.801	43.096	123.775	49.430
10GB	1076.095	1118.247	592.139	451.078	1273.520	549.574
16MB	1.878	1.852	0.931	0.689	1.746	1.041
128MB	14.404	14.169	7.375	5.508	15.470	6.334
512MB	55.457	55.968	30.240	22.101	60.353	24.531
