# nested run-1 relative to CMEK 
# size   rs_m                      ws_m                      rs_std                    ws_std                    rs_50                     ws_50                     rs_90                     ws_90                     rs_99                     ws_99                    
10K      0.44153951557918664       0.6860177765852796        0.11828644579919653       0.060188868810312705      0.48342444411575886       0.8063708752793226        0.3830613275195873        0.5548119586808911        0.35058450020338017       0.49830073103154815      
100K     0.660572870987214         0.7618248971893966        0.47754506918970524       1.2638583651742463        0.6010735708749071        0.812364569531294         0.6445745462864065        0.7720886561845426        0.6598727133779215        0.7687401670522589       
1M       0.716521761477837         0.7677830273232591        0.18898047656220904       0.7755705541155202        0.6946272666903788        0.775131961545659         0.668158657665156         0.7687123070251832        0.6754587640811874        0.7674533162465919       
10M      1.2333813203647692        1.0909556138805723        0.6313196348076656        0.9997288663576761        1.2756713486537614        1.0960980781550613        1.1249285949606593        1.0806387306095715        1.0957020639554529        1.0875638788964013       
100M     1.7591938582593853        1.1157001727725993        0.5958432012441491        0.6862807582682003        1.7685711254553047        1.1127950820323285        1.7038243711716834        1.0968842160088266        1.6602864987746386        1.1010126837779302       
