# cmek-hsm run-1 (seconds)
# size   rs_m                      ws_m                      rs_std                    ws_std                    rs_50                     ws_50                     rs_90                     ws_90                     rs_99                     ws_99                    
10K      0.1393667725996654        0.19406571479984755       0.014048211054842077      0.007561750439533386      0.14406271399900222       0.19125422800165384       0.1494545671997513        0.20240379819939172       0.1523121813194695        0.2052505637188617       
100K     0.16720476060002173       0.2006878333998948        0.03271102071269527       0.04829843935900787       0.17268401200005778       0.17983993199994774       0.19869054920012058       0.25132243559975675       0.21244752512018492       0.2799077985596655       
1M       0.17737776639999947       0.20683794479999307       0.011572635514385686      0.02151963822668441       0.17445135999999467       0.21683044799999596       0.18911675859999535       0.22577753019999644       0.1923964237599917        0.22904927572000697      
10M      0.3035237226000007        0.42118869160000033       0.007172069606416292      0.25598627008722213       0.3009694890000031        0.3092395829999978        0.311216942999999         0.6549584562000013        0.3135738539999965        0.8564476615199996       
100M     1.359853473799999         1.788612676599993         0.4659998843984312        0.06344328618819019       1.1793661050000002        1.7724862929999856        1.810772161999996         1.8578638741999882        2.1476927275999915        1.874663507119989        
