# csek run-1 (seconds)
# size   rs_m                      ws_m                      rs_std                    ws_std                    rs_50                     ws_50                     rs_90                     ws_90                     rs_99                     ws_99                    
10K      0.08980738339987716       0.17650467100087794       0.014493652566576492      0.013166223367466931      0.08226617900003617       0.18208840500085313       0.1060482509998027        0.1880165330010416        0.11051005859991908       0.188612356400929        
100K     0.09888194700000083       0.1640390187999963        0.011437445719701355      0.005794710657192442      0.09836794299999228       0.1652096440000309        0.1107571886000227        0.16962541879994647       0.1146288323600561        0.1708023066798724       
1M       0.14167051340000242       0.17204323219999695       0.01123996204217163       0.003959058340964008      0.14196082499999738       0.16997287499998814       0.15320212900000835       0.17638864479998992       0.15509484340001087       0.178223369679988        
10M      0.24933926359999928       0.30855688700000206       0.015219943881132318      0.009062929469697993      0.25315819599999734       0.31114471499999685       0.26390494519999896       0.31690535960000343       0.2661024309199984        0.31811878676000427      
100M     1.3161255029999999        1.6319095326000015        0.33390685421278016       0.03326437130675159       1.1093347889999952        1.6304362080000112        1.6919866248000035        1.6662928657999971        1.7965042522800034        1.6767855294799971       
