# csek run-1 relative to CMEK 
# size   rs_m                      ws_m                      rs_std                    ws_std                    rs_50                     ws_50                     rs_90                     ws_90                     rs_99                     ws_99                    
10K      0.47905828583816207       0.6826620195854245        0.3567840863944855        0.20346218175655936       0.4774524879372542        0.8229259041883098        0.46552303182146665       0.5761703099006703        0.433189811607212         0.51574524271754         
100K     0.5807386606697622        0.685715936439343         0.410599722241428         0.4202444048990613        0.5534961315202138        0.6981438448766025        0.5625358860633711        0.6685498396430178        0.5668083089191641        0.6669229362837978       
1M       0.6612062584521591        0.7312708626543999        0.4154692354887718        0.17035712791587834       0.6520558246201152        0.7570399785885329        0.6443117194952569        0.6794604166574661        0.6470528230125251        0.6516560039926502       
10M      0.728803930907009         0.826636763224785         0.22862439398293874       0.3039574107726293        0.7836448040786157        0.8206693968584156        0.6383771371477222        0.8019201917157053        0.5974154712118193        0.8010805902810789       
100M     0.9923243160478236        0.7397231325820052        4.848962308370457         0.27798989253607204       0.8427862851505374        0.7465173616261345        1.2131665389231867        0.7167957645039662        1.2492806787734854        0.712587579943096        
