# cmek-hsm run-1 relative to CMEK 
# size   rs_m                      ws_m                      rs_std                    ws_std                    rs_50                     ws_50                     rs_90                     ws_90                     rs_99                     ws_99                    
10K      0.7434222516774045        0.7505823616242653        0.3458188419830913        0.11685433243732705       0.8361042417903773        0.8643497014945062        0.6560649759563012        0.6202595977714908        0.5970504944724807        0.5612410757335453       
100K     0.982001989993826         0.8389153179438233        1.1743125474012723        3.5027027416436534        0.9716573276054951        0.7599685983753272        1.009149523922502         0.9905447851366666        1.0504950627883611        1.0929415095899535       
1M       0.827859562580951         0.8791660118761518        0.42776603797347706       0.9259837684518805        0.8012916619842073        0.9657383139002055        0.7953554217182307        0.8697095831510804        0.8026743275425233        0.8374958682529638       
10M      0.8871819021222525        1.128382063081626         0.10773430442165265       8.585405426491514         0.931643454439259         0.8156444568417583        0.7528232597295262        1.6573541432832293        0.7039915836147869        2.1566899749082955       
100M     1.0252940659822782        0.8107546072131024        6.7672042267004695        0.5301946682518721        0.895990631792413         0.8115569222986906        1.2983366206051739        0.7992046196585734        1.493495506691855         0.7966802600929804       
