# strawman run-1 (seconds)
# size   rs_m                      ws_m                      rs_std                    ws_std                    rs_50                     ws_50                     rs_90                     ws_90                     rs_99                     ws_99                    
10K      0.11061680159991116       0.21233640260001974       0.019755612330448973      0.009664759478003713      0.10663681299994965       0.2158915619999006        0.12910593779954102       0.21997837040084037       0.14145949187940843       0.2208256894412258       
100K     0.1312925972000068        0.21938136320000642       0.002958203460281717      0.03193157265347573       0.1306208140000587        0.20723479800017416       0.13422007740002695       0.2505825766001146        0.136146035640001         0.27311070736020715      
1M       0.18377790340000988       0.21835804160000713       0.015039801964185875      0.010564432237539787      0.1767833660000103        0.22011531100001058       0.19988559480000914       0.22864077280000225       0.20047565028001138       0.22949406027999877      
10M      0.47093921680000256       0.4213764176000024        0.06975586798893187       0.021895293688682427      0.4426216100000037        0.416568157999999         0.5483579226000048        0.4450081974000049        0.5637776013600059        0.44923935264000603      
100M     2.407240826400001         2.575175156000013         0.07029831453018869       0.05571540879935477       2.3989734280000268        2.578548373000008         2.4812157600000035        2.6271374728000167        2.5115184198000002        2.6390775056800098       
