# nested run-1 (seconds)
# size   rs_m                      ws_m                      rs_std                    ws_std                    rs_50                     ws_50                     rs_90                     ws_90                     rs_99                     ws_99                    
10K      0.08277387059997957       0.1773723137995472        0.004805154473322479      0.003894876601391761      0.0832951610000751        0.17842528199860203       0.08726310199984734       0.18104685220014477       0.08943680719995463       0.18223275231961622      
100K     0.11247525960001421       0.1822460321999694        0.01330223941154239       0.017427224378195123      0.10682345800002285       0.19223898100000472       0.1269097072000402        0.19589543499991277       0.13344977032007596       0.1968782097998241       
1M       0.15352245160000083       0.18063330620000234       0.0051126129249301315     0.018024071600886243      0.15122916800000832       0.1740349409999991        0.15887236840000268       0.1995585302000034        0.16190358423999765       0.20989312652000328      
10M      0.42196587740000185       0.4072186031999995        0.04202810227480219       0.029808360920005         0.4121084650000074        0.4155694430000038        0.46504519340000605       0.42705023400000086       0.48805060604000844       0.43188476400000364      
100M     2.3332290302000023        2.461355698200001         0.04103066105258458       0.08212060429769111       2.327918134000016         2.4304074989999984        2.3763003302000043        2.5498620866000072        2.3875433325200177        2.5907862947600004       
