# strawman run-1 relative to CMEK 
# size   rs_m                      ws_m                      rs_std                    ws_std                    rs_50                     ws_50                     rs_90                     ws_90                     rs_99                     ws_99                    
10K      0.5900616781517987        0.8212473732761002        0.4863155139193304        0.1493528550036549        0.6188935999142893        0.9756950689120614        0.5667400171522664        0.6741162802134772        0.5545088964176672        0.6038299980571801       
100K     0.7710880435413139        0.9170580146388648        0.106198319877755         2.315743708548277         0.734976386006766         0.8757339775397167        0.681703924793401         0.9876287562828039        0.6732050099294883        1.0664012589982106       
1M       0.857730356000113         0.9281322572615872        0.5559249222122435        0.45458444383796864       0.8120030543374095        0.9803687225180364        0.8406451798585584        0.8807389779978821        0.8363807114101899        0.8391221787055286       
10M      1.3765274969798658        1.128884988861451         1.0478286365755607        0.7343361547687269        1.370124018617268         1.0987322698901822        1.326459269250801         1.1260808571508567        1.2657135833397035        1.1312658691290836       
100M     1.8149968230041804        1.1672930363417389        1.0208651700262383        0.4656129034247621        1.8225534109333712        1.1806233931706909        1.7790494864205397        1.1301260732269942        1.7464981962930697        1.1215351158463192       
