# keywrap run-1 (seconds)
# size   rs_m                      ws_m                      rs_std                    ws_std                    rs_50                     ws_50                     rs_90                     ws_90                     rs_99                     ws_99                    
10K      0.11595118519977447       0.18234299900074935       0.005809497619625144      0.004983481752271493      0.1137077649997389        0.18177245500126496       0.12226778699977797       0.1875913660008184        0.1238552699996833        0.18969037120143528      
100K     0.14701539039996395       0.18218862580003176       0.02062207182936978       0.014810614831141834      0.13783649500004796       0.18143967100008035       0.16976814619993721       0.19656282859998842       0.1771486167199392        0.20256811856003107      
1M       0.17917870780000023       0.18085374439999818       0.01138976752187038       0.008468595225956058      0.18130336700000954       0.1847528779999888        0.18991628299999527       0.18771699599999836       0.19480062799999484       0.18931099499999723      
10M      0.3934383238000014        0.40021856919999554       0.012808423966615592      0.025574968293185483      0.39702374199999524       0.3950843519999954        0.40556664260000574       0.4259088483999936        0.41031684296000687       0.4382074038399916       
100M     2.3717216920000066        2.364544043599999         0.1480736953114484        0.037443217380660906      2.330927240000015         2.3668134450000173        2.514691114199997         2.4027513209999873        2.6194410169199895        2.4153710831999824       
