# cmek run-1 (seconds)
# size   rs_m                      ws_m                      rs_std                    ws_std                    rs_50                     ws_50                     rs_90                     ws_90                     rs_99                     ws_99                    
10K      0.1874665068004196        0.2585535241993804        0.040623035385472024      0.06471091214002707       0.17230233599881759       0.2212695019978201        0.22780452040120197       0.32632110639900025       0.25510770484168804       0.3657083784371948       
100K     0.17026926860002897       0.23922299320005208       0.027855463849963995      0.013788906145185386      0.17772110299997618       0.23664126700025814       0.19688910760005385       0.2537214261999083        0.20223562455998503       0.25610501211970665      
1M       0.2142606964000067        0.2352660839999924        0.02705365664186559       0.023239757498840757      0.21771268600001098       0.2245229839999929        0.23777641220002074       0.2596010605999909        0.23969425352002316       0.2734930217599869       
10M      0.34212118379999995       0.37326780120000186       0.06657182821124555       0.029816445161382755      0.32305222300000136       0.37913527200000674       0.4133997442000036        0.39518316520000024       0.4454227313200085        0.3971120891200028       
100M     1.3263058072000034        2.2061085569999923        0.0688615074685934        0.11966036248039197       1.3162705759999964        2.1840566499999965        1.394686195600004         2.3246410599999816        1.438030926760005         2.35309395879998         
